,Entry Number,File Name,SMILES,Ered,HOMO,Gsol,Absorption Wavelength
383,383,BTZ-Neutral-wb97xd-1383,CCOCN(C(C)=O)c1c(N(C)C)c(SC)c(Br)c2nsnc12,1.87562663,-7.656894,-0.80691255,389.71
791,791,BTZ-Neutral-wb97xd-1791,CC(=O)N(c1c(OC(F)(F)F)c(C#N)c(N(C)C)c2nsnc12)C(F)(F)C(F)(F)F,2.11896566,-7.9385175,-0.5975316,392.35
1145,1145,BTZ-Neutral-wb97xd-737,CCOCN(C(C)=O)c1c(C)c(C#N)c(S(=O)(=O)N(C)C)c2nsnc12,2.56333217,-8.9569878,-1.00208988,336.68
1208,1208,BTZ-Neutral-wb97xd-800,CCOCN(C(C)=O)c1c(C(F)(F)F)c(C)c(Br)c2nsnc12,2.24938319,-8.7569943,-0.63298623,330.88
390,390,BTZ-Neutral-wb97xd-1390,CCOCN(C(C)=O)c1c(N(C)C)c(SC(F)(F)F)c(OC)c2nsnc12,1.89110912,-7.6411122,-0.72481998,385.44
248,248,BTZ-Neutral-wb97xd-1248,CCOCN(C(C)=O)c1c(SC(F)(F)F)c(C(F)(F)F)c(OC(F)(F)F)c2nsnc12,2.55481544,-9.1637838,-0.52572441,310.99
1162,1162,BTZ-Neutral-wb97xd-754,CCOCN(C(C)=O)c1c(C)c(OC(F)(F)F)c(SC)c2nsnc12,2.02332251,-8.3651703,-0.64833267,356.18
644,644,BTZ-Neutral-wb97xd-1644,CSc1c(C#N)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1OC(F)(F)F,2.65149257,-8.9594367,-0.45952248,334.15
912,912,BTZ-Neutral-wb97xd-1912,CSc1c(SC)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1N(C)C,1.96955555,-7.3635702,-0.60539529,441.01
719,719,BTZ-Neutral-wb97xd-1719,COc1c(OC(F)(F)F)c(C#N)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.56466546,-9.1790214,-0.58787205,327.81
707,707,BTZ-Neutral-wb97xd-1707,COc1c(OC)c(C(F)(F)F)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.09828606,-9.0192987,-0.51171126,309.28
898,898,BTZ-Neutral-wb97xd-1898,CSc1c(OC(F)(F)F)c(SC)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.24214533,-8.4906084,-0.47568522,360.23
761,761,BTZ-Neutral-wb97xd-1761,CC(=O)N(c1c(OC(F)(F)F)c(C)c(C)c2nsnc12)C(F)(F)C(F)(F)F,2.05926692,-8.7771297,-0.53361531,327.02
1091,1091,BTZ-Neutral-wb97xd-2091,CC(=O)N(c1c(N(C)C)c(SC(F)(F)F)c(C)c2nsnc12)C(F)(F)C(F)(F)F,2.02212527,-8.0914377,-0.43051662,366.57
987,987,BTZ-Neutral-wb97xd-1987,CC(=O)N(c1c(SC(F)(F)F)c(OC(F)(F)F)c(SC(F)(F)F)c2nsnc12)C(F)(F)C(F)(F)F,2.7685772,-9.6707061,-0.4470603,308.82
1074,1074,BTZ-Neutral-wb97xd-2074,CSc1c(OC(F)(F)F)c(N(C)C)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc12,2.23819988,-8.1020496,-0.56975019,386.96
1021,1021,BTZ-Neutral-wb97xd-2021,CC(=O)N(c1c(SC(F)(F)F)c(N(C)C)c(Br)c2nsnc12)C(F)(F)C(F)(F)F,2.26407659,-8.1080358,-0.45674706,387.73
19,19,BTZ-Neutral-wb97xd-1019,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(SC(F)(F)F)c2nsnc12,2.20056845,-9.0451482,-0.8211978,311.39
487,487,BTZ-Neutral-wb97xd-1532,COc1c(C(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1C#N,2.58779396,-8.9705928,-0.56311095,333.7
1292,1292,BTZ-Neutral-wb97xd-885,CCOCN(C(C)=O)c1c(C#N)c(C)c(OC(F)(F)F)c2nsnc12,2.29387154,-9.0829701,-0.71578626,322.76
1375,1375,BTZ-Neutral-wb97xd-968,CCOCN(C(C)=O)c1c(C#N)c(N(C)C)c(S(=O)(=O)N(C)C)c2nsnc12,2.28320522,-8.0084472,-1.04951691,408.76
577,577,BTZ-Neutral-wb97xd-1577,COc1c(N(C)C)c(C(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc12,2.24851247,-8.1991893,-0.57282492,362.3
426,426,BTZ-Neutral-wb97xd-1426,CC(=O)N(c1c(C)c(C(F)(F)F)c(SC(F)(F)F)c2nsnc12)C(F)(F)C(F)(F)F,2.51783705,-9.2693586,-0.5110038,319.81
839,839,BTZ-Neutral-wb97xd-1839,CC(=O)N(c1c(OC(F)(F)F)c(N(C)C)c(C(F)(F)F)c2nsnc12)C(F)(F)C(F)(F)F,2.34810107,-8.1205524,-0.48564408,388.61
921,921,BTZ-Neutral-wb97xd-1921,CSc1c(SC(F)(F)F)c(SC(F)(F)F)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.53027202,-8.5999926,-0.43919661,364.93
634,634,BTZ-Neutral-wb97xd-1634,CSc1c(OC(F)(F)F)c(C#N)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc12,2.63503052,-8.7093768,-0.6024294,375.95
1183,1183,BTZ-Neutral-wb97xd-775,CCOCN(C(C)=O)c1c(C)c(SC(F)(F)F)c(OC(F)(F)F)c2nsnc12,2.17817462,-8.8886907,-0.73769031,324.81
553,553,BTZ-Neutral-wb97xd-1553,CSc1c(C(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1C(F)(F)F,2.62401047,-8.8778067,-0.5420232,348.49
204,204,BTZ-Neutral-wb97xd-1204,CCOCN(C(C)=O)c1c(SC)c(SC)c(OC(F)(F)F)c2nsnc12,2.19507203,-8.3458512,-0.61687791,345.39
561,561,BTZ-Neutral-wb97xd-1561,CSc1c(C(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1[N+](=O)[O-],2.62986062,-9.1188873,-0.58463406,327.48
1172,1172,BTZ-Neutral-wb97xd-764,CCOCN(C(C)=O)c1c(C)c(SC)c(OC(F)(F)F)c2nsnc12,2.08957886,-8.6459775,-0.72345948,324.06
906,906,BTZ-Neutral-wb97xd-1906,CSc1c(SC)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1C#N,2.62240508,-8.4761871,-0.75205719,398.74
81,81,BTZ-Neutral-wb97xd-1081,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c(C#N)c2nsnc12,2.95888394,-9.0783444,-0.80318478,361.5
255,255,BTZ-Neutral-wb97xd-1255,CCOCN(C(C)=O)c1c(SC(F)(F)F)c(C#N)c(C)c2nsnc12,2.34372026,-9.0715419,-0.80389224,317.19
800,800,BTZ-Neutral-wb97xd-1800,COc1c(OC(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1SC(F)(F)F,2.30271479,-9.128955,-0.36915807,315.31
986,986,BTZ-Neutral-wb97xd-1986,CSc1c(OC(F)(F)F)c(SC(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc12,2.48425991,-8.6974044,-0.54539724,363.48
258,258,BTZ-Neutral-wb97xd-1258,CCOCN(C(C)=O)c1c(SC(F)(F)F)c(C#N)c(OC)c2nsnc12,2.38244009,-8.5703337,-0.80721186,351.84
1122,1122,BTZ-Neutral-wb97xd-714,CCOCN(C(C)=O)c1c(C)c(C)c([N+](=O)[O-])c2nsnc12,2.16212072,-8.862297,-0.91085475,339.22
60,60,BTZ-Neutral-wb97xd-1060,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c(OC)c2nsnc12,1.91048264,-8.2302087,-0.6247416,360.47
223,223,BTZ-Neutral-wb97xd-1223,CCOCN(C(C)=O)c1c(SC)c(N(C)C)c(C(F)(F)F)c2nsnc12,2.12440766,-8.067765,-0.79295382,393.69
404,404,BTZ-Neutral-wb97xd-1404,CCOCN(C(C)=O)c1c(N(C)C)c(N(C)C)c(SC(F)(F)F)c2nsnc12,1.8548654,-7.4887362,-0.87686946,392.52
573,573,BTZ-Neutral-wb97xd-1573,CC(=O)N(c1c(C(F)(F)F)c(SC(F)(F)F)c(S(=O)(=O)N(C)C)c2nsnc12)C(F)(F)C(F)(F)F,2.59274618,-9.3958851,-0.68781438,301.95
133,133,BTZ-Neutral-wb97xd-1133,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC(F)(F)F)c(S(=O)(=O)N(C)C)c2nsnc12,2.51092571,-8.8944048,-0.90938541,341.42
37,37,BTZ-Neutral-wb97xd-1037,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c(C#N)c2nsnc12,2.51840846,-8.7608037,-0.70362339,363.69
298,298,BTZ-Neutral-wb97xd-1298,CCOCN(C(C)=O)c1c(SC(F)(F)F)c(SC)c(S(=O)(=O)N(C)C)c2nsnc12,2.35400564,-8.4707451,-0.90897726,361.01
1092,1092,BTZ-Neutral-wb97xd-2092,CC(=O)N(c1c(N(C)C)c(SC(F)(F)F)c(C(F)(F)F)c2nsnc12)C(F)(F)C(F)(F)F,2.43541796,-8.1186477,-0.45791709,399.44
671,671,BTZ-Neutral-wb97xd-1671,CC(=O)N(c1c(C#N)c(N(C)C)c([N+](=O)[O-])c2nsnc12)C(F)(F)C(F)(F)F,2.70876962,-8.2849008,-0.66204651,433.4
1226,1226,BTZ-Neutral-wb97xd-818,CCOCN(C(C)=O)c1c(C(F)(F)F)c(C#N)c(OC)c2nsnc12,2.24249906,-8.603802,-0.82459905,342.87
424,424,BTZ-Neutral-wb97xd-1424,CC(=O)N(c1c(C)c(C(F)(F)F)c(OC(F)(F)F)c2nsnc12)C(F)(F)C(F)(F)F,2.41721447,-9.2862288,-0.49816068,309.58
699,699,BTZ-Neutral-wb97xd-1699,COc1c(C#N)c(OC(F)(F)F)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.57595761,-9.2954802,-0.57709689,320.06
464,464,BTZ-Neutral-wb97xd-1509,CC(=O)N(c1c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c2nsnc12)C(F)(F)C(F)(F)F,2.83374515,-9.9607647,-0.39062676,294.92
763,763,BTZ-Neutral-wb97xd-1763,CC(=O)N(c1c(OC(F)(F)F)c(C)c(C#N)c2nsnc12)C(F)(F)C(F)(F)F,2.53492493,-9.3771102,-0.64223763,312.9
774,774,BTZ-Neutral-wb97xd-1774,CC(=O)N(c1c(OC(F)(F)F)c(C(F)(F)F)c(C#N)c2nsnc12)C(F)(F)C(F)(F)F,2.94073487,-9.5811852,-0.45500562,329.06
1135,1135,BTZ-Neutral-wb97xd-727,CCOCN(C(C)=O)c1c(C)c(C#N)c(C)c2nsnc12,1.97973209,-8.6835273,-0.84176856,328.14
1166,1166,BTZ-Neutral-wb97xd-758,CCOCN(C(C)=O)c1c(C)c(OC(F)(F)F)c([N+](=O)[O-])c2nsnc12,2.54262536,-9.0930378,-0.73940454,339.92
375,375,BTZ-Neutral-wb97xd-1375,CCOCN(C(C)=O)c1c(N(C)C)c(OC(F)(F)F)c(S(=O)(=O)N(C)C)c2nsnc12,2.14454306,-8.0239569,-1.02750402,381.45
51,51,BTZ-Neutral-wb97xd-1051,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(SC)c2nsnc12,1.72406693,-7.4438397,-0.80059983,405.26
1238,1238,BTZ-Neutral-wb97xd-830,CCOCN(C(C)=O)c1c(C(F)(F)F)c(OC)c(OC(F)(F)F)c2nsnc12,2.33071388,-8.8519572,-0.64468653,331.09
341,341,BTZ-Neutral-wb97xd-1341,CCOCN(C(C)=O)c1c(N(C)C)c(C(F)(F)F)c([N+](=O)[O-])c2nsnc12,2.57035235,-8.1480345,-0.75869643,401.9
1232,1232,BTZ-Neutral-wb97xd-824,CCOCN(C(C)=O)c1c(C(F)(F)F)c(C#N)c([N+](=O)[O-])c2nsnc12,3.04737086,-9.4971063,-0.82960569,332.21
1076,1076,BTZ-Neutral-wb97xd-2076,CC(=O)N(c1c(N(C)C)c(OC(F)(F)F)c(Br)c2nsnc12)C(F)(F)C(F)(F)F,2.15384888,-7.9221915,-0.55987296,392.48
920,920,BTZ-Neutral-wb97xd-1920,CSc1c(SC(F)(F)F)c(SC)c2nsnc2c1N(C(C)=O)C(F)(F)C(F)(F)F,2.38333802,-8.3504769,-0.54025455,396.78
403,403,BTZ-Neutral-wb97xd-1403,CCOCN(C(C)=O)c1c(N(C)C)c(N(C)C)c(SC)c2nsnc12,1.67737457,-7.3943175,-0.91156221,381.72
3,3,BTZ-Neutral-wb97xd-1003,CCOCN(C(C)=O)c1c(OC)c(OC)c(C(F)(F)F)c2nsnc12,1.93246832,-8.7458382,-0.73733658,319.72
1020,1020,BTZ-Neutral-wb97xd-2020,CC(=O)N(c1c(SC(F)(F)F)c(N(C)C)c(SC(F)(F)F)c2nsnc12)C(F)(F)C(F)(F)F,2.47013792,-8.2163316,-0.52294899,397.39
625,625,BTZ-Neutral-wb97xd-1625,COc1c(C#N)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1Br,2.54912855,-9.0677325,-0.50724882,334.03
